"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Christian Yelich","Brewers",".373","2.20","24.7 %","51.8 %","23.5 %","4.9 %","35.0 %","15","6.6 %","1","33.3 %","34.9 %","38.1 %","27.0 %","14.5 %","37.9 %","47.6 %","11477"
"J.D. Martinez","Red Sox",".375","1.28","22.6 %","43.5 %","34.0 %","2.7 %","29.5 %","15","8.0 %","0","0.0 %","37.7 %","30.9 %","31.4 %","10.9 %","44.2 %","44.9 %","6184"
"Joey Gallo","Rangers",".249","0.59","20.6 %","29.6 %","49.8 %","11.7 %","27.6 %","2","2.3 %","2","100.0 %","45.1 %","31.4 %","23.6 %","12.6 %","38.9 %","48.5 %","14128"
"Giancarlo Stanton","Yankees",".333","1.23","18.5 %","45.0 %","36.5 %","13.2 %","25.0 %","24","12.8 %","0","0.0 %","38.9 %","37.0 %","24.0 %","19.0 %","38.7 %","42.3 %","4949"
"Ian Desmond","Rockies",".279","2.88","16.5 %","62.0 %","21.5 %","7.9 %","24.7 %","17","6.6 %","0","0.0 %","30.0 %","40.8 %","29.2 %","21.5 %","44.4 %","34.1 %","6885"
"Mike Trout","Angels",".346","0.69","23.4 %","31.3 %","45.3 %","9.4 %","24.5 %","11","10.0 %","0","0.0 %","40.2 %","37.3 %","22.5 %","16.0 %","39.6 %","44.4 %","10155"
"Kyle Schwarber","Cubs",".288","1.18","19.2 %","43.7 %","37.1 %","9.4 %","24.5 %","6","4.8 %","3","60.0 %","43.6 %","33.3 %","23.0 %","16.8 %","43.0 %","40.2 %","16478"
"Javier Baez","Cubs",".347","1.41","22.1 %","45.6 %","32.3 %","11.4 %","24.3 %","25","12.6 %","4","40.0 %","40.5 %","33.3 %","26.1 %","19.4 %","44.8 %","35.8 %","12979"
"Khris Davis","Athletics",".261","0.72","15.9 %","35.3 %","48.8 %","7.0 %","24.1 %","6","4.2 %","0","0.0 %","35.8 %","40.2 %","24.0 %","10.8 %","43.9 %","45.3 %","9112"
"Nelson Cruz","Mariners",".264","1.14","17.5 %","44.0 %","38.5 %","11.0 %","24.0 %","4","2.3 %","0","0.0 %","40.8 %","34.8 %","24.5 %","16.3 %","41.5 %","42.3 %","2434"
"Jesus Aguilar","Brewers",".309","0.86","23.7 %","35.4 %","40.9 %","6.1 %","23.8 %","1","0.8 %","0","0.0 %","43.5 %","33.4 %","23.1 %","15.3 %","40.7 %","44.0 %","11342"
"Eugenio Suarez","Reds",".322","1.03","24.6 %","38.4 %","37.1 %","2.8 %","23.4 %","9","6.0 %","0","0.0 %","42.7 %","35.8 %","21.5 %","8.4 %","43.0 %","48.6 %","12552"
"David Peralta","Diamondbacks",".328","1.73","20.1 %","50.7 %","29.2 %","5.5 %","23.4 %","13","5.9 %","0","0.0 %","39.0 %","34.7 %","26.3 %","16.4 %","34.9 %","48.6 %","2136"
"Bryce Harper","Nationals",".289","1.05","22.2 %","39.8 %","38.0 %","3.4 %","23.1 %","7","4.5 %","1","33.3 %","42.3 %","29.5 %","28.2 %","11.8 %","45.9 %","42.3 %","11579"
"Justin Upton","Angels",".321","1.18","21.8 %","42.4 %","35.8 %","9.2 %","23.1 %","19","12.3 %","0","0.0 %","46.6 %","32.5 %","20.9 %","16.8 %","39.4 %","43.8 %","5222"
"Paul Goldschmidt","Diamondbacks",".359","1.06","25.0 %","38.6 %","36.4 %","11.8 %","21.6 %","12","7.4 %","0","0.0 %","37.9 %","36.4 %","25.7 %","16.9 %","36.9 %","46.2 %","9218"
"C.J. Cron","Rays",".293","1.04","21.1 %","40.2 %","38.8 %","18.6 %","21.4 %","8","5.5 %","0","0.0 %","45.4 %","33.5 %","21.1 %","21.3 %","39.1 %","39.6 %","12546"
"Tommy Pham","- - -",".342","1.71","23.9 %","48.0 %","28.1 %","5.0 %","21.0 %","14","8.2 %","0","0.0 %","37.8 %","39.8 %","22.4 %","12.6 %","38.9 %","48.5 %","2967"
"Trey Mancini","Orioles",".285","2.06","18.9 %","54.6 %","26.5 %","7.0 %","20.9 %","11","4.6 %","0","0.0 %","38.0 %","35.7 %","26.3 %","20.3 %","46.1 %","33.6 %","15149"
"Nolan Arenado","Rockies",".314","1.03","21.3 %","39.9 %","38.8 %","12.0 %","20.7 %","8","4.2 %","0","0.0 %","39.8 %","36.8 %","23.4 %","15.4 %","41.7 %","43.0 %","9777"
"Nomar Mazara","Rangers",".298","2.07","18.4 %","55.1 %","26.6 %","7.0 %","20.0 %","17","8.2 %","0","0.0 %","38.0 %","36.7 %","25.3 %","18.4 %","44.2 %","37.5 %","14553"
"Trevor Story","Rockies",".345","0.80","22.7 %","34.3 %","43.1 %","10.2 %","19.9 %","21","14.2 %","0","0.0 %","43.3 %","34.3 %","22.4 %","15.9 %","39.6 %","44.5 %","12564"
"Michael Conforto","Mets",".289","1.20","19.6 %","43.8 %","36.6 %","8.5 %","19.7 %","13","7.6 %","0","0.0 %","43.0 %","31.7 %","25.3 %","17.8 %","46.4 %","35.8 %","16376"
"Edwin Encarnacion","Indians",".265","0.82","20.3 %","36.0 %","43.7 %","11.0 %","19.5 %","7","5.2 %","0","0.0 %","45.6 %","31.5 %","22.9 %","15.2 %","42.4 %","42.4 %","2151"
"Eric Hosmer","Padres",".302","3.06","19.9 %","60.4 %","19.7 %","9.7 %","19.4 %","17","6.0 %","0","0.0 %","31.8 %","39.2 %","29.0 %","23.5 %","42.0 %","34.5 %","3516"
