"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Todd Frazier","NYM","3B","109","108","954.0","80","203","12","9","3","25","24","0","5","","","","","",".959","","785"
"David Peralta","ARI","LF","138","134","1202.2","219","1","4","3","1","0","0","0","0","","","","","",".982","","2136"
"Carlos Santana","PHI","1B","149","141","1275.0","1167","76","10","5","5","104","15","4","105","21","","","","",".992","","2396"
"Yonder Alonso","CLE","1B","138","131","1168.1","980","54","10","7","3","80","15","0","80","14","","","","",".990","","2530"
"Mitch Moreland","BOS","1B","116","103","932.1","739","68","2","2","0","50","5","1","50","15","","","","",".998","","3086"
"Anthony Rizzo","CHC","1B","153","148","1326.1","1133","147","7","6","1","120","15","1","116","28","","","","",".995","","3473"
"Eric Hosmer","SDP","1B","157","155","1378.0","1231","106","4","4","0","105","13","2","104","31","","","","",".997","","3516"
"Michael Brantley","CLE","LF","134","134","1136.1","221","6","1","1","0","0","2","0","0","","","","","",".996","","4106"
"Joey Votto","CIN","1B","139","137","1181.0","1047","142","5","4","1","91","7","1","97","20","","","","",".996","","4314"
"Jed Lowrie","OAK","2B","136","133","1177.1","195","336","4","4","0","69","16","52","5","","","","","",".993","","4418"
"Starlin Castro","MIA","2B","150","149","1314.0","271","349","12","9","3","74","34","39","4","","","","","",".981","","4579"
"Mike Moustakas","- - -","3B","128","125","1096.1","83","261","12","9","3","30","31","0","1","","","","","",".966","","4892"
"Ender Inciarte","ATL","CF","155","151","1341.0","380","6","5","3","2","0","3","0","0","","","","","",".987","","4922"
"Alex Gordon","KCR","LF","125","122","1085.0","249","9","2","1","1","0","1","0","0","","","","","",".992","","5209"
"Justin Upton","LAA","LF","140","140","1200.1","294","7","4","3","1","0","2","0","0","","","","","",".987","","5222"
"Aaron Hicks","NYY","CF","131","129","1138.1","268","2","2","1","1","0","0","0","0","","","","","",".993","","5297"
"Brandon Crawford","SFG","SS","146","141","1259.0","192","435","16","10","6","96","59","42","5","","","","","",".975","","5343"
"Freddie Freeman","ATL","1B","161","160","1415.0","1268","72","7","3","4","109","5","0","111","24","","","","",".995","","5361"
"Jose Altuve","HOU","2B","130","130","1136.2","159","262","7","4","3","62","16","46","1","","","","","",".984","","5417"
"Nick Markakis","ATL","RF","158","157","1387.1","312","9","2","2","0","0","0","0","0","","","","","",".994","","5930"
"Jean Segura","SEA","SS","144","144","1260.2","141","387","17","12","5","67","39","28","1","","","","","",".969","","5933"
"Didi Gregorius","NYY","SS","132","130","1149.1","160","309","6","1","5","50","30","21","3","","","","","",".987","","6012"
"Eduardo Escobar","- - -","3B","131","124","1102.1","70","224","5","3","2","18","17","1","1","","","","","",".983","","6153"
"Ian Kinsler","- - -","2B","128","124","1091.1","213","310","9","8","1","80","37","46","7","","","","","",".983","","6195"
"Alcides Escobar","KCR","SS","104","104","905.1","129","243","9","8","1","44","25","21","3","","","","","",".976","","6310"
"Adam Jones","BAL","CF","106","105","906.2","237","3","3","2","1","0","1","0","0","","","","","",".988","","6368"
"Jordy Mercer","PIT","SS","117","116","995.2","151","273","10","8","2","41","21","21","8","","","","","",".977","","6547"
"Freddy Galvis","SDP","SS","160","157","1401.0","222","399","9","3","6","75","37","35","8","","","","","",".986","","6609"
"Ian Desmond","COL","1B","138","131","1158.0","1111","84","6","5","0","106","8","1","110","21","","","","",".995","","6885"
"Martin Maldonado","- - -","C","117","111","967.2","1021","54","4","2","2","0","5","0","1","","18","17","13","53",".996","","6887"
"Yadier Molina","STL","C","121","120","1017.2","966","42","2","0","1","2","4","2","2","","27","12","4","39",".998","","7007"
"Carlos Gonzalez","COL","RF","117","113","1004.1","213","6","2","0","2","0","1","0","0","","","","","",".991","","7287"
"Charlie Blackmon","COL","CF","151","151","1322.1","293","3","1","1","0","0","1","0","0","","","","","",".997","","7859"
"Jonathan Lucroy","OAK","C","125","119","1066.1","857","83","10","1","9","2","1","2","0","","72","31","10","63",".990","","7870"
"Denard Span","- - -","LF","120","104","924.0","203","3","4","3","1","0","1","0","0","","","","","",".981","","8347"
"Justin Smoak","TOR","1B","134","127","1127.1","1036","39","1","0","1","92","8","0","97","28","","","","",".999","","9054"
"Lorenzo Cain","MIL","CF","138","137","1180.0","304","11","6","5","1","0","3","0","0","","","","","",".981","","9077"
"Paul Goldschmidt","ARI","1B","155","154","1365.2","1323","110","6","3","3","123","13","2","127","18","","","","",".996","","9218"
"Starling Marte","PIT","CF","139","136","1196.1","338","11","3","1","2","0","2","1","0","","","","","",".992","","9241"
"A.J. Pollock","ARI","CF","109","105","936.0","229","3","1","1","0","0","1","0","0","","","","","",".996","","9256"
"Chris Davis","BAL","1B","116","115","1010.0","913","67","5","4","1","94","12","0","93","13","","","","",".995","","9272"
"Evan Longoria","SFG","3B","123","120","1051.0","72","213","15","7","7","23","22","1","2","","","","","",".950","","9368"
"Yan Gomes","CLE","C","111","105","948.2","994","49","9","1","6","0","6","0","0","","49","20","6","32",".991","","9627"
"Justin Bour","- - -","1B","113","107","897.1","764","57","4","2","2","72","5","2","77","12","","","","",".995","","9744"
"Jason Kipnis","CLE","2B","131","129","1133.2","175","308","9","6","3","59","18","44","6","","","","","",".982","","9776"
"Nolan Arenado","COL","3B","152","152","1328.1","104","312","14","7","7","37","34","6","4","","","","","",".967","","9777"
"Kyle Seager","SEA","3B","154","150","1332.2","98","325","14","10","4","43","45","2","3","","","","","",".968","","9785"
"Brian Dozier","- - -","2B","148","141","1253.0","218","342","12","7","5","72","29","45","5","","","","","",".979","","9810"
"Andrew McCutchen","- - -","RF","143","142","1243.2","262","8","2","2","0","0","1","0","0","","","","","",".993","","9847"
"DJ LeMahieu","COL","2B","128","127","1115.0","209","378","4","3","1","83","33","53","4","","","","","",".993","","9874"
