"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Kyle Schwarber","Cubs","52.9 %","93.5","15.9 %","84.5","5.3 %","89.1","10.8 %","78.9","13.2 %","85.2","1.9 %","85.5","","","3.0 %","16478"
"Bryce Harper","Nationals","52.7 %","93.5","15.3 %","84.8","5.5 %","89.7","9.7 %","79.2","14.3 %","85.0","2.5 %","86.4","","","1.9 %","11579"
"Teoscar Hernandez","Blue Jays","52.4 %","93.4","21.7 %","84.4","5.6 %","88.0","10.4 %","80.0","8.9 %","84.1","1.0 %","85.0","0.1 %","77.0","0.1 %","13066"
"Javier Baez","Cubs","47.0 %","93.4","25.6 %","84.9","6.7 %","89.2","11.4 %","79.4","8.4 %","84.9","0.9 %","85.6","","","1.5 %","12979"
"Anthony Rizzo","Cubs","53.4 %","93.4","17.6 %","84.7","5.7 %","88.8","9.2 %","79.0","12.0 %","85.3","2.1 %","86.8","","","2.3 %","3473"
"Joey Gallo","Rangers","48.0 %","93.4","20.4 %","83.7","4.7 %","87.9","14.4 %","79.5","10.7 %","84.8","1.8 %","85.0","","","0.6 %","14128"
"J.D. Martinez","Red Sox","52.6 %","93.3","22.8 %","84.5","5.5 %","88.7","6.8 %","79.6","10.7 %","84.1","1.6 %","85.4","","","1.7 %","6184"
"Jesus Aguilar","Brewers","54.0 %","93.3","20.5 %","85.7","5.2 %","89.2","10.5 %","78.7","9.1 %","84.6","0.7 %","85.8","","","0.5 %","11342"
"Ben Zobrist","Cubs","56.6 %","93.3","13.6 %","84.4","4.0 %","88.4","8.2 %","79.6","16.1 %","85.5","1.5 %","86.4","","","0.1 %","7435"
"Dansby Swanson","Braves","50.1 %","93.3","25.8 %","84.5","4.8 %","89.6","10.7 %","79.7","7.6 %","84.9","0.8 %","85.2","0.3 %","74.7","2.6 %","18314"
"Willson Contreras","Cubs","53.0 %","93.3","21.1 %","85.1","5.8 %","88.8","12.2 %","78.6","6.9 %","84.5","0.9 %","85.9","","","0.4 %","11609"
"Justin Smoak","Blue Jays","49.9 %","93.3","15.1 %","84.4","4.1 %","89.5","12.6 %","79.7","15.7 %","84.7","2.5 %","85.7","","","0.2 %","9054"
"Giancarlo Stanton","Yankees","50.4 %","93.2","22.4 %","84.7","7.8 %","88.8","8.2 %","79.7","9.7 %","84.4","1.3 %","84.1","0.2 %","79.0","0.7 %","4949"
"Odubel Herrera","Phillies","55.9 %","93.2","12.0 %","84.3","5.1 %","89.6","11.1 %","78.9","14.7 %","84.8","1.3 %","85.0","","","0.5 %","11476"
"Derek Dietrich","Marlins","53.2 %","93.2","13.0 %","84.4","6.1 %","90.1","11.6 %","79.1","13.7 %","85.4","2.3 %","85.2","","","0.3 %","10542"
"Mookie Betts","Red Sox","54.7 %","93.2","19.9 %","84.5","5.0 %","88.7","7.3 %","79.1","11.4 %","84.4","1.7 %","85.4","","","0.9 %","13611"
"Manny Machado","- - -","53.6 %","93.2","18.7 %","84.9","7.6 %","88.8","8.8 %","79.6","10.1 %","84.1","1.0 %","85.4","0.3 %","76.3","2.7 %","11493"
"Rhys Hoskins","Phillies","51.0 %","93.2","19.8 %","85.2","6.2 %","89.5","10.1 %","78.9","11.9 %","84.5","1.0 %","84.1","","","0.3 %","16472"
"J.T. Realmuto","Marlins","51.5 %","93.2","20.6 %","84.9","5.7 %","90.1","9.2 %","79.1","11.2 %","84.5","1.8 %","85.6","","","0.1 %","11739"
