"Name","Team","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","playerid"
"Mookie Betts","Red Sox","40.1","11.2","4.2","1.1","11.1","2.3","","2.84","2.19","3.28","0.58","3.79","5.06","","13611"
"J.D. Martinez","Red Sox","39.8","3.8","0.9","6.3","4.4","2.5","","3.01","0.65","0.67","3.65","1.65","6.38","","6184"
"Jose Ramirez","Indians","38.3","1.9","0.1","3.7","4.9","0.0","","2.57","0.40","0.04","0.97","1.06","0.06","","13510"
"Mike Trout","Angels","33.1","8.4","7.2","4.4","9.1","0.8","","2.17","2.11","3.44","2.03","5.40","3.55","","10155"
"Bryce Harper","Nationals","32.2","2.7","1.1","0.4","-0.1","0.9","","2.13","0.62","0.70","0.13","-0.03","1.18","","11579"
"Paul Goldschmidt","Diamondbacks","28.2","10.0","-0.4","3.6","6.5","0.2","","1.81","1.54","-0.28","1.43","2.26","1.29","","9218"
"Khris Davis","Athletics","28.1","2.7","1.1","-4.0","-1.9","-1.7","0.2","2.26","0.50","0.65","-1.63","-0.70","-4.04","1.99","9112"
"Giancarlo Stanton","Yankees","27.0","-11.8","0.5","2.4","4.7","-2.7","1.2","1.82","-1.79","0.20","0.98","1.66","-7.22","16.66","4949"
"Nolan Arenado","Rockies","26.4","1.7","-2.7","6.7","8.7","0.4","","1.89","0.31","-1.75","2.80","3.64","2.29","","9777"
"Matt Carpenter","Cardinals","25.0","-3.6","8.5","5.3","2.0","-1.4","","1.48","-0.91","5.00","2.34","0.60","-3.46","","8090"
"Jesus Aguilar","Brewers","24.5","-0.7","-3.9","0.0","-1.6","1.0","","1.87","-0.14","-3.13","0.02","-0.71","6.39","","11342"
"Rhys Hoskins","Phillies","24.4","-11.1","4.0","3.7","5.5","0.6","","1.64","-1.92","2.20","1.25","1.58","2.16","","16472"
"Shin-Soo Choo","Rangers","24.0","-1.6","0.0","0.9","2.3","0.0","","1.55","-0.35","0.03","0.34","0.76","-0.03","","3174"
"Francisco Lindor","Indians","23.4","5.4","-0.6","-3.7","16.4","-2.1","","1.47","1.27","-0.40","-1.05","4.60","-4.22","","12916"
"Andrew McCutchen","- - -","23.1","-4.4","-0.9","2.6","-0.7","-0.3","-0.2","1.48","-0.80","-0.47","0.98","-0.26","-1.38","-5.41","9847"
"Alex Bregman","Astros","22.9","7.0","0.1","10.2","2.8","-0.4","-0.6","1.56","1.38","0.03","3.29","0.95","-2.10","-7.57","17678"
"Matt Kemp","Dodgers","22.7","-7.8","-3.8","3.3","-4.1","-1.6","","2.61","-2.16","-2.42","1.51","-2.06","-6.67","","5631"
"Mitch Haniger","Mariners","22.2","3.0","5.3","2.5","0.0","-0.6","0.9","1.57","0.58","4.31","0.76","0.00","-1.71","4.28","14274"
"Christian Yelich","Brewers","21.8","9.4","3.4","10.4","9.4","0.9","","1.59","2.30","2.75","3.90","2.84","4.21","","11477"
"Yasmani Grandal","Dodgers","20.0","-4.9","0.0","-0.3","-0.3","-0.3","0.1","1.72","-2.03","-0.01","-0.11","-0.08","-1.43","10.04","11368"
"Freddie Freeman","Braves","19.1","11.5","0.8","7.8","0.2","1.0","-0.6","1.38","2.54","0.67","3.08","0.05","2.50","-6.58","5361"
"Xander Bogaerts","Red Sox","18.7","9.6","-0.5","3.5","-1.7","0.1","","1.53","1.79","-0.35","1.79","-0.68","0.37","","12161"
"Brandon Nimmo","Mets","17.8","4.8","4.2","4.4","-0.5","1.0","0.6","1.35","1.87","2.80","1.98","-0.17","3.57","5.87","12927"
"Lorenzo Cain","Brewers","17.5","0.3","0.5","5.0","2.2","0.5","","1.16","0.07","0.38","3.11","1.11","4.22","","9077"
"Javier Baez","Cubs","17.5","2.9","-0.4","11.9","1.5","-0.9","","1.66","0.51","-0.24","4.65","0.80","-4.16","","12979"
"Matt Chapman","Athletics","16.8","1.5","6.3","-1.1","1.6","-1.9","0.8","1.22","0.31","4.90","-0.38","0.68","-4.86","9.62","16505"
"Travis Shaw","Brewers","16.7","-3.8","1.5","3.1","1.4","1.4","","1.28","-1.16","1.25","1.16","0.41","5.03","","11982"
"Aaron Hicks","Yankees","16.4","3.6","-0.3","4.8","4.8","0.9","-0.3","1.30","1.19","-0.21","1.79","1.02","1.98","-3.65","5297"
"Anthony Rendon","Nationals","16.3","0.4","3.8","6.3","7.1","-0.5","","1.20","0.08","2.82","3.32","3.64","-1.86","","12861"
"Charlie Blackmon","Rockies","15.3","4.2","1.6","5.9","5.0","-0.6","","0.97","0.99","1.07","2.86","1.53","-1.43","","7859"
"Michael Conforto","Mets","14.4","2.2","4.1","-0.4","-5.0","0.9","","1.03","0.59","2.63","-0.14","-1.31","2.24","","16376"
"Whit Merrifield","Royals","14.4","-3.1","-1.8","2.5","2.7","1.8","","0.95","-0.54","-1.14","0.98","1.32","10.61","","11281"
"C.J. Cron","Rays","14.1","-1.6","-0.4","2.2","-1.4","0.7","-0.3","1.24","-0.35","-0.25","1.08","-0.68","2.73","-6.90","12546"
"Marcell Ozuna","Cardinals","14.1","0.9","-3.0","-3.4","-1.4","-0.1","","1.14","0.19","-2.11","-1.59","-0.64","-0.60","","10324"
"Ben Zobrist","Cubs","13.9","2.2","2.2","2.9","-1.4","0.6","","1.22","0.79","2.78","1.77","-0.43","2.14","","7435"
"Cesar Hernandez","Phillies","13.1","3.2","-0.9","-3.3","-6.3","0.4","","0.72","1.19","-0.74","-0.98","-1.50","1.14","","10556"
"Yonder Alonso","Indians","12.9","-1.9","0.6","-1.2","-6.9","-1.7","0.5","1.18","-0.52","0.72","-0.40","-2.24","-4.84","22.74","2530"
"Manny Machado","- - -","12.9","6.4","1.1","7.3","-2.3","0.0","-0.5","0.95","1.35","0.57","3.29","-0.91","0.15","-7.73","11493"
"Anthony Rizzo","Cubs","12.7","0.2","-3.4","4.4","9.1","2.1","","0.98","0.05","-2.44","1.96","3.11","4.12","","3473"
"Josh Bell","Pirates","12.6","4.0","-2.0","-2.8","-0.1","1.1","","0.95","1.32","-1.51","-1.10","-0.02","3.50","","13145"
"Jackie Bradley Jr.","Red Sox","12.6","-4.7","-1.2","-1.7","-5.6","2.1","","1.04","-1.35","-1.51","-0.83","-1.84","10.66","","12984"
"Michael Brantley","Indians","12.4","2.8","1.9","2.7","2.7","1.5","","0.95","0.73","2.02","1.17","1.23","3.27","","4106"
"Andrew Benintendi","Red Sox","12.4","-2.2","1.9","1.1","13.2","-0.3","","0.86","-0.58","1.44","0.53","3.45","-0.59","","17901"
"Miguel Andujar","Yankees","12.1","8.0","2.2","5.9","1.0","-1.4","-0.7","1.23","1.73","1.28","2.34","0.42","-5.33","-12.13","15878"
"Joey Votto","Reds","11.9","4.6","5.6","1.6","2.4","-1.8","","0.79","1.49","3.10","0.66","0.96","-10.23","","4314"
"Nicholas Castellanos","Tigers","11.9","2.4","-0.4","6.6","9.8","-0.2","1.2","0.91","0.45","-0.30","2.67","4.72","-0.68","15.16","11737"
"Eduardo Escobar","- - -","11.8","1.8","-2.7","7.1","-6.3","3.4","","0.86","0.60","-1.98","2.73","-1.84","7.76","","6153"
"Matt Duffy","Rays","11.3","-3.2","-6.4","-2.6","1.3","3.1","-0.3","0.96","-0.75","-4.80","-1.44","0.75","9.24","-5.07","13836"
"Mallex Smith","Rays","11.1","-1.5","-2.4","2.2","-1.4","-0.3","","0.93","-0.55","-3.48","1.04","-0.53","-0.76","","13608"
"Trevor Story","Rockies","11.0","2.9","6.1","4.3","9.1","1.9","","0.80","0.52","4.72","1.74","3.86","12.54","","12564"
"Brian Anderson","Marlins","10.9","5.9","-3.4","-3.7","-0.6","-0.4","","0.76","1.28","-2.79","-1.13","-0.21","-1.30","","18289"
