"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Joey Votto","Reds","16.4 %","68.6 %","39.7 %","78.4 %","86.7 %","84.8 %","44.7 %","55.9 %","6.0 %","4314"
"Andrew McCutchen","- - -","19.4 %","64.1 %","39.8 %","65.4 %","84.5 %","79.5 %","45.8 %","56.0 %","8.2 %","9847"
"Brandon Nimmo","Mets","19.7 %","63.6 %","39.2 %","57.5 %","82.7 %","75.7 %","44.5 %","63.0 %","9.6 %","12927"
"Mookie Betts","Red Sox","19.8 %","57.0 %","35.6 %","70.7 %","93.0 %","85.9 %","42.6 %","56.2 %","5.0 %","13611"
"Alex Bregman","Astros","20.0 %","60.5 %","37.1 %","79.1 %","92.8 %","88.5 %","42.3 %","54.0 %","4.3 %","17678"
"Cesar Hernandez","Phillies","20.3 %","58.8 %","37.6 %","60.0 %","89.7 %","80.9 %","45.0 %","58.3 %","7.2 %","10556"
"Aaron Hicks","Yankees","20.9 %","65.5 %","39.6 %","67.1 %","82.8 %","78.0 %","42.0 %","53.0 %","8.7 %","5297"
"Matt Carpenter","Cardinals","21.0 %","57.7 %","37.1 %","56.5 %","87.1 %","77.3 %","43.7 %","52.9 %","8.4 %","8090"
"Joe Mauer","Twins","21.1 %","51.0 %","35.3 %","72.3 %","94.0 %","87.2 %","47.6 %","60.4 %","4.5 %","1857"
"Brett Gardner","Yankees","21.7 %","53.4 %","36.0 %","75.3 %","93.7 %","87.6 %","45.1 %","55.0 %","4.5 %","9927"
"Mike Trout","Angels","21.8 %","59.1 %","37.6 %","69.0 %","91.7 %","84.1 %","42.4 %","58.1 %","6.0 %","10155"
"Jose Ramirez","Indians","22.3 %","62.3 %","38.5 %","79.4 %","92.1 %","87.7 %","40.4 %","53.0 %","4.7 %","13510"
"Brian Dozier","- - -","22.5 %","60.5 %","39.6 %","65.4 %","85.7 %","79.4 %","45.0 %","56.5 %","8.2 %","9810"
"Yasmani Grandal","Dodgers","22.7 %","57.9 %","38.4 %","59.0 %","81.8 %","74.4 %","44.8 %","54.1 %","9.9 %","11368"
"Rhys Hoskins","Phillies","22.8 %","60.6 %","39.1 %","64.2 %","87.4 %","79.8 %","43.2 %","52.4 %","7.9 %","16472"
"Nick Markakis","Braves","22.9 %","61.6 %","40.4 %","78.6 %","93.3 %","88.8 %","45.3 %","56.9 %","4.5 %","5930"
"Tommy Pham","- - -","23.0 %","61.2 %","39.7 %","54.8 %","87.4 %","76.8 %","43.8 %","61.1 %","9.2 %","2967"
"Yoan Moncada","White Sox","23.3 %","63.9 %","41.1 %","49.9 %","79.8 %","70.3 %","43.8 %","61.2 %","12.2 %","17232"
"Shin-Soo Choo","Rangers","23.9 %","62.4 %","40.6 %","59.8 %","82.1 %","74.6 %","43.2 %","58.2 %","10.3 %","3174"
"Carlos Santana","Phillies","24.2 %","65.5 %","41.3 %","74.2 %","87.0 %","82.6 %","41.5 %","58.0 %","7.2 %","2396"
"Matt Chapman","Athletics","24.5 %","64.0 %","41.4 %","63.8 %","86.4 %","78.7 %","42.8 %","58.0 %","8.8 %","16505"
"Justin Smoak","Blue Jays","24.6 %","63.5 %","40.3 %","60.8 %","85.5 %","76.5 %","40.3 %","55.6 %","9.5 %","9054"
"Justin Upton","Angels","24.9 %","66.4 %","42.6 %","55.6 %","79.5 %","71.5 %","42.7 %","57.6 %","12.2 %","5222"
"Max Kepler","Twins","24.9 %","65.3 %","42.6 %","66.2 %","91.7 %","83.3 %","43.9 %","58.1 %","7.1 %","12144"
"Lorenzo Cain","Brewers","24.9 %","64.7 %","42.3 %","69.1 %","90.9 %","83.7 %","43.8 %","60.2 %","6.9 %","9077"
"Matt Olson","Athletics","25.1 %","69.6 %","44.1 %","67.2 %","77.7 %","74.3 %","42.7 %","54.1 %","11.4 %","14344"
"Jed Lowrie","Athletics","25.2 %","73.6 %","45.8 %","67.5 %","87.8 %","81.3 %","42.6 %","59.3 %","8.6 %","4418"
"Kyle Schwarber","Cubs","25.2 %","64.9 %","41.4 %","54.1 %","82.1 %","72.0 %","40.7 %","55.9 %","11.6 %","16478"
"George Springer","Astros","25.5 %","68.5 %","44.2 %","63.7 %","85.2 %","78.2 %","43.4 %","57.1 %","9.6 %","12856"
"Chris Taylor","Dodgers","25.8 %","72.3 %","47.4 %","53.4 %","78.5 %","71.2 %","46.3 %","62.6 %","13.7 %","13757"
"Mitch Haniger","Mariners","25.9 %","62.5 %","41.8 %","61.1 %","87.1 %","78.0 %","43.4 %","58.3 %","9.2 %","14274"
"Eugenio Suarez","Reds","25.9 %","70.0 %","44.6 %","56.6 %","87.4 %","77.1 %","42.5 %","59.6 %","10.2 %","12552"
"Ben Zobrist","Cubs","26.0 %","59.6 %","40.8 %","76.8 %","92.1 %","86.6 %","44.1 %","58.1 %","5.5 %","7435"
"DJ LeMahieu","Rockies","26.0 %","60.1 %","41.7 %","72.7 %","95.0 %","87.5 %","46.0 %","60.4 %","5.2 %","9874"
"Bryce Harper","Nationals","26.1 %","75.4 %","45.4 %","55.4 %","79.6 %","71.1 %","39.1 %","57.4 %","13.1 %","11579"
"Marcus Semien","Athletics","26.2 %","67.1 %","43.8 %","67.2 %","88.3 %","81.1 %","43.0 %","61.2 %","8.3 %","12533"
"Trea Turner","Nationals","26.6 %","65.0 %","43.6 %","67.7 %","88.4 %","81.3 %","44.1 %","62.4 %","8.1 %","16252"
"Josh Bell","Pirates","26.7 %","67.8 %","42.9 %","65.5 %","84.5 %","77.3 %","39.5 %","55.4 %","9.7 %","13145"
"Michael Brantley","Indians","27.1 %","65.8 %","44.1 %","78.7 %","97.3 %","90.9 %","43.9 %","58.0 %","4.0 %","4106"
"Ian Kinsler","- - -","27.1 %","68.3 %","45.4 %","78.7 %","93.8 %","88.8 %","44.3 %","57.5 %","5.1 %","6195"
"Michael Conforto","Mets","27.6 %","65.1 %","43.2 %","58.7 %","84.0 %","74.5 %","41.5 %","58.5 %","11.0 %","16376"
"Christian Yelich","Brewers","27.7 %","64.6 %","44.0 %","62.2 %","88.1 %","79.0 %","44.2 %","60.5 %","9.2 %","11477"
"Khris Davis","Athletics","27.8 %","78.4 %","49.3 %","49.1 %","77.7 %","68.5 %","42.6 %","61.6 %","15.6 %","9112"
"Jackie Bradley Jr.","Red Sox","27.8 %","71.4 %","47.0 %","57.4 %","79.1 %","71.9 %","43.9 %","61.5 %","13.2 %","12984"
"Andrelton Simmons","Angels","28.0 %","66.6 %","45.2 %","77.9 %","92.9 %","87.7 %","44.6 %","59.7 %","5.6 %","10847"
