"Name","Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars","playerid"
"Mookie Betts","Red Sox","62.2","6.9","16.8","-5.3","69.1","11.6","1.9","18.4","101.0","10.4","$83.1","13611"
"Mike Trout","Angels","66.1","5.0","4.0","0.2","71.1","4.2","1.9","18.2","95.4","9.8","$78.6","10155"
"Jose Ramirez","Indians","38.5","12.0","2.7","1.9","50.6","4.6","2.2","20.9","78.2","8.0","$64.4","13510"
"Alex Bregman","Astros","48.0","3.4","-3.8","3.1","51.4","-0.6","2.2","21.1","74.0","7.6","$61.0","17678"
"Francisco Lindor","Indians","27.1","1.2","14.1","7.0","28.3","21.1","2.3","22.3","74.0","7.6","$60.9","12916"
"Christian Yelich","Brewers","52.6","5.8","0.6","-5.7","58.4","-5.1","1.0","19.5","73.8","7.6","$60.8","11477"
"Matt Chapman","Athletics","27.4","2.6","10.9","2.2","30.1","13.1","1.9","18.4","63.5","6.5","$52.3","16505"
"Manny Machado","- - -","34.5","1.2","-4.7","6.7","35.7","2.0","1.8","21.2","60.7","6.2","$50.0","11493"
"Anthony Rendon","Nationals","28.8","5.1","5.9","2.0","34.0","7.9","1.0","17.9","60.7","6.2","$50.0","12861"
"J.D. Martinez","Red Sox","54.4","-4.1","-2.1","-12.6","50.3","-14.7","2.0","19.4","57.0","5.9","$47.0","6184"
"Nolan Arenado","Rockies","26.0","0.0","5.8","2.1","26.0","7.9","1.1","20.1","55.1","5.7","$45.3","9777"
"Lorenzo Cain","Brewers","18.2","6.4","8.7","2.0","24.6","10.7","1.0","18.6","54.9","5.7","$45.2","9077"
"Andrelton Simmons","Angels","6.2","1.1","19.7","6.3","7.3","26.1","1.9","18.0","53.2","5.5","$43.8","10847"
"Javier Baez","Cubs","24.1","3.9","-0.3","3.8","28.0","3.6","1.0","19.3","51.9","5.3","$42.7","12979"
"Freddie Freeman","Braves","31.6","1.3","7.8","-12.1","32.9","-4.3","1.1","21.2","50.9","5.2","$41.9","5361"
"Whit Merrifield","Royals","16.9","7.4","2.8","0.1","24.3","2.9","2.2","21.2","50.5","5.2","$41.6","11281"
"Paul Goldschmidt","Diamondbacks","37.5","2.5","0.0","-11.9","40.0","-12.0","1.1","20.6","49.8","5.1","$41.0","9218"
