"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Christian Yelich","Brewers","6.02","-10.35","16.37","64.06","6.76","1.04","3.35","2","5.92","-0.12","11477"
"Alex Bregman","Astros","5.94","-10.77","16.72","56.09","5.89","0.99","","0","4.49","1.48","17678"
"Mookie Betts","Red Sox","5.77","-8.16","13.93","62.93","6.11","0.92","3.62","4","6.44","-0.15","13611"
"J.D. Martinez","Red Sox","5.24","-9.44","14.68","71.35","6.97","0.94","","0","5.28","0.27","6184"
"Paul Goldschmidt","Diamondbacks","4.66","-9.99","14.66","43.23","4.47","0.97","3.50","1","4.79","0.02","9218"
"Mike Trout","Angels","4.14","-7.61","11.75","63.76","6.70","0.90","2.71","1","6.91","-2.30","10155"
"Andrew Benintendi","Red Sox","3.84","-9.53","13.37","34.55","3.36","0.95","1.78","5","2.32","1.74","17901"
"Khris Davis","Athletics","3.78","-11.33","15.11","32.16","3.25","1.01","0.07","1","3.01","0.74","9112"
"Freddie Freeman","Braves","3.66","-9.96","13.62","39.62","4.12","0.91","1.21","1","4.56","-0.53","5361"
"Xander Bogaerts","Red Sox","3.63","-9.30","12.93","36.65","3.58","1.02","3.20","2","1.92","1.63","12161"
"Matt Carpenter","Cardinals","3.62","-10.06","13.67","38.87","4.09","0.98","1.03","5","4.19","-0.52","8090"
"Mitch Haniger","Mariners","3.43","-10.98","14.40","29.22","3.02","0.99","","0","3.37","0.10","14274"
"Bryce Harper","Nationals","3.39","-10.50","13.89","44.60","4.68","1.01","1.70","4","3.49","-0.12","11579"
"Nicholas Castellanos","Tigers","3.34","-11.04","14.38","32.71","3.31","0.98","1.26","1","2.71","0.69","11737"
"Brian Anderson","Marlins","3.31","-10.31","13.61","23.81","2.80","1.00","0.80","3","1.56","1.76","18289"
"Anthony Rizzo","Cubs","3.30","-10.63","13.92","31.03","3.38","1.00","2.62","2","3.74","-0.43","3473"
"Jose Ramirez","Indians","3.27","-10.24","13.52","52.74","5.11","0.90","","0","5.19","-1.56","13510"
"Javier Baez","Cubs","3.22","-11.40","14.62","32.70","3.43","0.99","0.79","9","3.50","-0.25","12979"
"Gregory Polanco","Pirates","3.17","-7.90","11.07","23.80","2.49","0.97","0.92","8","2.02","1.24","12907"
"Jed Lowrie","Athletics","3.17","-10.69","13.86","35.74","3.79","0.95","1.39","6","2.87","0.47","4418"
"Anthony Rendon","Nationals","3.09","-9.55","12.64","35.62","3.80","1.03","","0","2.90","0.12","12861"
"Jose Martinez","Cardinals","3.08","-9.26","12.34","29.59","3.16","0.98","2.00","17","2.51","0.63","7996"
"Manny Machado","- - -","3.03","-11.37","14.40","33.70","3.47","1.03","","0","2.73","0.22","11493"
"Nolan Arenado","Rockies","2.99","-10.61","13.60","33.95","3.05","0.97","2.18","2","3.46","-0.36","9777"
"Eugenio Suarez","Reds","2.99","-10.73","13.72","32.59","3.40","1.05","2.54","1","2.65","0.20","12552"
"Lorenzo Cain","Brewers","2.89","-9.22","12.11","29.53","3.11","1.00","1.20","3","2.71","0.19","9077"
"David Peralta","Diamondbacks","2.84","-9.99","12.83","27.77","2.77","0.95","1.34","7","2.68","0.31","2136"
"Brandon Nimmo","Mets","2.68","-8.15","10.82","31.93","3.30","0.94","1.86","16","2.89","-0.04","12927"
"Nelson Cruz","Mariners","2.57","-9.98","12.55","24.14","2.50","1.00","2.96","4","1.32","1.24","2434"
"Jesus Aguilar","Brewers","2.53","-9.79","12.32","24.42","2.53","1.02","1.14","20","3.06","-0.58","11342"
"Justin Smoak","Blue Jays","2.52","-10.01","12.54","20.61","2.14","0.98","3.13","8","2.00","0.57","9054"
"Trevor Story","Rockies","2.48","-11.35","13.83","27.79","2.55","0.96","3.26","1","3.05","-0.47","12564"
"Starling Marte","Pirates","2.42","-9.82","12.24","21.33","2.27","0.95","1.58","6","1.47","1.07","9241"
"J.T. Realmuto","Marlins","2.25","-8.21","10.46","28.49","2.94","0.95","1.25","5","2.47","-0.11","11739"
"Aaron Hicks","Yankees","2.24","-8.79","11.03","34.36","3.40","0.93","1.91","6","2.85","-0.45","5297"
"Michael Conforto","Mets","2.21","-10.74","12.95","20.45","2.14","1.02","1.66","10","2.07","0.11","16376"
"Joey Votto","Reds","2.20","-9.91","12.11","28.71","2.96","1.03","1.17","4","1.77","0.36","4314"
