mlbId,LastName,firstInitial
663465,Allard, K
502043,Gibson, K
571882,Law, D
573064,Nuno III, V
544836,Romero, E
600968,Rosario, R
656977,Sobotka, C
543359,Jennings, D
543432,Lavarnway, R
548357,Bergman, C
592145,Biddle, J
460283,Blevins, J
606273,Elias, R
572863,Garneau, D
623352,Hader, J
453178,Kennedy, I
605347,Lopez, J
543734,Rusin, C
642701,Santana, D
572227,Vincej, Z
519144,Porcello, R
543089,Davis, T
657145,Zagunis, M
624507,Jones, R
553902,Astudillo, W
605141,Betts, M
501571,Lagares, J
656257,Brigham, J
595918,Cole, A
664869,Conlon, P
543208,Gaviglio, S
594840,Grace, M
457918,Happ, J
628356,Kang, J
641745,Keller, B
453281,LeBlanc, W
592547,McGuire, D
596043,Mengden, D
501985,Minor, M
664702,Straw, M
573186,Stroman, M
502110,Martinez, J
643446,McNeil, J
592885,Yelich, C
572228,Voit, L
502082,Chisenhall, L
514888,Altuve, J
642133,Tellez, R
457759,Turner, J
545361,Trout, M
650490,Diaz, Y
571697,Gennett, S
518692,Freeman, F
488726,Brantley, M
543685,Rendon, A
456715,Cain, L
467092,Ramos, W
450314,Zobrist, B
500874,Martinez, J
593160,Merrifield, W
516416,Segura, J
429664,Cano, R
435062,Kendrick, H
594809,Eaton, A
605612,Castro, H
608566,Marquez, G
623205,Velazquez, A
621563,Wendle, J
572816,Dickerson, C
608385,Winker, J
502517,Murphy, D
408234,Cabrera, M
592206,Castellanos, N
592518,Machado, M
455976,Markakis, N
609280,Andujar, M
571448,Arenado, N
501896,Freese, D
605361,Martini, N
605480,Smith, M
622110,Duffy, M
660670,Acuna Jr., R
622569,Reyes, P
620446,Urena, R
592200,Casali, C
444482,Peralta, D
592863,Williams, M
592743,Simmons, A
607345,Smith, K
665742,Soto, J
596115,Story, T
453568,Blackmon, C
493329,Gurriel, Y
595879,Baez, J
547179,Lorenzen, M
624512,McGuire, R
643217,Benintendi, A
502671,Goldschmidt, P
461314,Kemp, M
593428,Bogaerts, X
657656,Laureano, R
645302,Robles, V
593871,Polanco, J
592696,Rosario, E
606299,Peraza, J
640457,Meadows, A
608324,Bregman, A
546991,Almora Jr., A
553869,Diaz, E
605244,Garcia, A
605439,Reed, M
660271,Ohtani, S
571745,Haniger, M
458015,Votto, J
467827,Parra, G
457763,Posey, B
605421,Perez, M
456665,Pearce, S
407812,Holliday, M
553993,Suarez, E
519203,Rizzo, A
408045,Mauer, J
666971,Gurriel Jr., L
430945,Jones, A
542303,Ozuna, M
466320,Cabrera, M
591720,Torreyes, R
614177,Reyes, F
534606,LaMarre, R
592450,Judge, A
516770,Castro, S
656305,Chapman, M
642715,Adames, W
516782,Marte, S
571788,Holt, B
592567,Moran, C
596019,Lindor, F
624428,Frazier, A
592663,Realmuto, J
