Name,Age,Position,fangraphsId,bbrefId
Yasmani Grandal,30,C,11368,grandya01
Wilson Ramos,31,C,1433,ramoswi01
Kurt Suzuki,35,C,8259,suzukku01
Robinson Chirinos,35,C,3142,chiriro01
Nick Hundley,35,C,3376,hundlni01
Matt Wieters,33,C,4298,wietema01
A.J. Ellis,38,C,5677,ellisaj01
Devin Mesoraco,31,C,5666,mesorde01
Jonathan Lucroy,33,C,7870,lucrojo01
Chris Herrmann,31,C,9284,herrmch01
Brian McCann,35,C,4810,mccanbr01
Juan Graterol,29,C,5398,grateju01
Caleb Joseph,32,C,7087,josepca01
James McCann,28,C,12859,mccanja02
Chris Stewart,37,C,3878,stewach01
Jarrod Saltalamacchia,34,C,5557,saltaja01
Jose Lobaton,34,C,4243,lobatjo01
Drew Butera,35,C,3411,buterdr01
Jeff Mathis,36,C,3448,mathije01
Bobby Wilson,36,C,6564,wilsobo02
Steve Pearce,36,1B,9957,pearcst01
Matt Adams,30,1B,9393,adamsma01
Wilmer Flores,27,1B,5827,florewi01
Justin Bour,30,1B,9744,bourju01
Mark Reynolds,35,1B,7619,reynoma01
Lucas Duda,32,1B,2502,dudalu01
Brad Miller,29,1B,12775,millebr02
Adam Rosales,36,1B,9682,rosalad01
Hanley Ramirez,35,1B,8001,ramirha01
Logan Morrison,31,1B,9205,morrilo01
Jed Lowrie,35,2B,4418,lowrije01
Ian Kinsler,37,2B,6195,kinslia01
DJ LeMahieu,30,2B,9874,lemahdj01
Daniel Descalso,32,2B,8392,descada01
Brian Dozier,32,2B,9810,doziebr01
Daniel Murphy,34,2B,4316,murphda08
Cory Spangenberg,28,2B,12294,spangco01
Jonathan Schoop,27,2B,11265,schoojo01
Ronald Torreyes,26,2B,11400,torrero01
Josh Harrison,31,2B,8202,harrijo05
Andrew Romine,33,2B,1159,rominan01
Neil Walker,33,2B,7539,walkene01
Gordon Beckham,32,2B,9015,beckhgo01
Dixon Machado,27,2B,11472,machadi01
Logan Forsythe,32,2B,7185,forsylo01
Brandon Phillips,38,2B,791,phillbr01
Eduardo Escobar,30,3B,6153,escobed01
Mike Moustakas,30,3B,4892,moustmi01
Josh Donaldson,33,3B,5038,donaljo02
Jung Ho Kang,32,3B,17182,kangju01
Chase Headley,35,3B,4720,headlch01
Ryan Flaherty,32,3B,7888,flahery01
Danny Valencia,34,3B,6364,valenda01
Yangervis Solarte,31,3B,5352,solarya01
Manny Machado,26,SS,11493,machama01
Freddy Galvis,29,SS,6609,galvifr01
Jordy Mercer,32,SS,6547,mercejo03
Adeiny Hechavarria,30,SS,10459,hechaad01
Alcides Escobar,32,SS,6310,escobal02
Tim Beckham,28,SS,7949,beckhti01
Eric Sogard,33,SS,7927,sogarer01
Michael Brantley,32,LF,4106,brantmi02
Marwin Gonzalez,30,LF,5497,gonzama01
Denard Span,35,LF,8347,spande01
