Name,Age,Postion,fangraphsId
Yasmani Grandal,30,C,11368
Wilson Ramos,31,C,1433
Kurt Suzuki,35,C,8259
Robinson Chirinos,35,C,3142
Nick Hundley,35,C,3376
Matt Wieters,33,C,4298
A.J. Ellis,38,C,5677
Devin Mesoraco,31,C,5666
Jonathan Lucroy,33,C,7870
Chris Herrmann,31,C,9284
Brian McCann,35,C,4810
Juan Graterol,29,C,5398
Caleb Joseph,32,C,7087
James McCann,28,C,12859
Chris Stewart,37,C,3878
Jarrod Saltalamacchia,34,C,5557
Jose Lobaton,34,C,4243
Drew Butera,35,C,3411
Jeff Mathis,36,C,3448
Bobby Wilson,36,C,6564
Steve Pearce,36,1B,9957
Matt Adams,30,1B,9393
Wilmer Flores,27,1B,5827
Justin Bour,30,1B,9744
Mark Reynolds,35,1B,7619
Lucas Duda,32,1B,2502
Brad Miller,29,1B,12775
Adam Rosales,36,1B,9682
Hanley Ramirez,35,1B,8001
Logan Morrison,31,1B,9205
Jed Lowrie,35,2B,4418
Ian Kinsler,37,2B,6195
DJ LeMahieu,30,2B,9874
Daniel Descalso,32,2B,8392
Brian Dozier,32,2B,9810
Daniel Murphy,34,2B,4316
Cory Spangenberg,28,2B,12294
Jonathan Schoop,27,2B,11265
Ronald Torreyes,26,2B,11400
Josh Harrison,31,2B,8202
Andrew Romine,33,2B,1159
Neil Walker,33,2B,7539
Gordon Beckham,32,2B,9015
Dixon Machado,27,2B,11472
Logan Forsythe,32,2B,7185
Brandon Phillips,38,2B,791
Eduardo Escobar,30,3B,6153
Mike Moustakas,30,3B,4892
Josh Donaldson,33,3B,5038
Jung Ho Kang,32,3B,17182
Chase Headley,35,3B,4720
Ryan Flaherty,32,3B,7888
Danny Valencia,34,3B,6364
Yangervis Solarte,31,3B,5352
Manny Machado,26,SS,11493
Freddy Galvis,29,SS,6609
Jordy Mercer,32,SS,6547
Adeiny Hechavarria,30,SS,10459
Alcides Escobar,32,SS,6310
Tim Beckham,28,SS,7949
Eric Sogard,33,SS,7927
Michael Brantley,32,LF,4106
Marwin Gonzalez,30,LF,5497
Denard Span,35,LF,8347
Curtis Granderson,38,LF,4747
Derek Dietrich,29,LF,10542
Craig Gentry,35,LF,9571
Cameron Maybin,32,LF,5223
Matt Joyce,34,LF,3353
Matt Holliday,39,LF,1873
Danny Santana,28,LF,10322
Gerardo Parra,32,LF,8553
Preston Tucker,28,LF,13633
Hunter Pence,36,LF,8252
A.J. Pollock,31,CF,9256
Adam Jones,33,CF,6368
Billy Hamilton,28,CF,10199
Eric Young Jr.,34,CF,7158
Rajai Davis,38,CF,3708
Austin Jackson,32,CF,9848
Bryce Harper,26,RF,11579
Andrew McCutchen,32,RF,9847
Nick Markakis,35,RF,5930
Jon Jay,33,RF,5227
Lonnie Chisenhall,30,RF,7571
Robbie Grossman,29,RF,5254
Melky Cabrera,34,RF,4022
Brandon Guyer,33,RF,2636
Aristides Aquino,24,RF,15482
Ichiro Suzuki,45,RF,1101
Chris Young,35,RF,3882
Chris Owings,27,RF,10030
Nelson Cruz,38,DH,2434
Matt Davidson,28,DH,7226
Evan Gattis,32,DH,11003
Patrick Corbin,29,SP,9323
Dallas Keuchel,31,SP,9434
J.A. Happ,36,SP,7410
Charlie Morton,35,SP,4676
Lance Lynn,32,SP,2520
CC Sabathia,38,SP,404
Nathan Eovaldi,29,SP,9132
Gio Gonzalez,33,SP,7448
Hyun-Jin Ryu,32,SP,14444
Trevor Cahill,31,SP,6249
Derek Holland,32,SP,4141
Clay Buchholz,34,SP,3543
Wade Miley,32,SP,8779
Matt Harvey,30,SP,11713
Mike Fiers,33,SP,7754
Jeremy Hellickson,32,SP,4371
Garrett Richards,32,SP,9784
Tyson Ross,32,SP,7872
Brett Anderson,31,SP,8223
James Shields,37,SP,7059
Jason Hammel,36,SP,4538
Edwin Jackson,35,SP,1841
