gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
1,a,Cloudy,KC,2019-03-28,14,0,Brad Keller,L,Groundout,field_out,0,0,B,SL,85,78.7,22.7,-36.61,4.76,-2.84,-1.29,3.12,-0.37,-123.64,-0.44,166.05,154.49,-1.76,50,6.35,7.44,10.8,9.6,24,2696,60,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,14,0,Brad Keller,L,Groundout,field_out,1,0,C,SL,85.6,79.6,22.32,-35.37,3.94,-2.01,-0.86,2.22,1,-124.51,-2.75,149.71,178.72,-1.78,50,6.24,6.26,9.6,9.6,24,2623,62,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,14,0,Brad Keller,L,Groundout,field_out,1,1,F,FT,95.1,88.3,27.22,-22.18,-6.04,5.08,-0.41,2.12,5.07,-138.52,-6.65,132.48,181.67,-1.46,50,6,-11.89,25.2,4.8,24,2218,230,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,14,0,Brad Keller,L,Groundout,field_out,1,2,X,SL,85.4,80.2,20.91,-35.81,4.51,-2.28,0.3,1.18,3.34,-124.32,-4.84,105.39,206.94,-1.63,50,6.07,7.18,12,9.6,24,2532,61,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,35,1,Brad Keller,L,Lineout,field_out,0,0,B,SL,84.3,78.3,23.4,-37.49,3.13,-3.49,-0.44,0.72,2.04,-122.55,-5.21,133.91,219.3,-1.69,50,6.07,4.77,7.2,10.8,24,2668,40,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,35,1,Brad Keller,L,Lineout,field_out,1,0,B,FT,93.8,87,26.9,-21.26,-6.75,5.73,0.08,1.12,6.75,-136.35,-9.04,113.93,208.71,-1.54,50,5.91,-12.84,26.4,6,24,2061,230,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,35,1,Brad Keller,L,Lineout,field_out,2,0,C,FF,94.6,87.4,27.54,-15.68,-1.61,8.51,-0.93,2.35,2.28,-137.63,-7.07,152.32,175.33,-1.55,50,5.99,-3.12,8.4,3.6,24,2288,189,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,35,1,Brad Keller,L,Lineout,field_out,2,1,F,FF,94.4,87.2,27.43,-17.86,-0.29,7.42,0.85,2.77,6.29,-137.26,-5.47,84.42,164.14,-1.42,50,5.98,-0.55,2.4,3.6,24,2284,177,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,35,1,Brad Keller,L,Lineout,field_out,2,2,X,SL,86.1,80.3,22.6,-33.63,3.26,-0.91,0.98,1.74,5.26,-125.28,-4.05,79.51,191.82,-1.56,50,6.09,5.24,9.6,8.4,24,2615,72,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,59,2,Ian Kennedy,L,Flyout,field_out,0,0,B,FF,92.2,83.7,31.03,-13.63,-5.37,10.25,-1.26,2.82,4.64,-134.16,-4.06,165.01,162.54,-2.32,50,5.34,-9.71,31.2,3.6,24,2470,205,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,59,2,Ian Kennedy,L,Flyout,field_out,1,0,B,FF,92.3,84,30.67,-12.01,-5.82,11.12,-1.35,1.64,4.72,-134.2,-7.16,168.55,194.65,-2.38,50,5.2,-10.54,34.8,3.6,24,2487,206,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,59,2,Ian Kennedy,L,Flyout,field_out,2,0,X,FF,91.4,83,30.49,-12.42,-4.82,11.15,0.34,2.09,8.1,-132.81,-6.04,103.9,182.47,-2.13,50,5.31,-8.54,26.4,3.6,24,2463,199,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,71,3,Brad Boxberger,L,Lineout,field_out,0,0,C,CH,79.1,73.3,19.4,-27.5,-8.34,3.46,0.26,1.72,6.95,-114.97,-2.56,107.02,192.38,-1.7,50,5.49,-11.27,20.4,8.4,24,1189,246,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,71,3,Brad Boxberger,L,Lineout,field_out,0,1,*B,CH,80,74.8,18.9,-30.24,-10.14,1.4,1.22,-1.03,9.49,-115.93,-7.68,70.44,266.52,-1.58,50,5.16,-13.99,21.6,9.6,24,1239,265,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,71,3,Brad Boxberger,L,Lineout,field_out,1,1,X,CH,79.6,73.6,19.79,-27.2,-6.6,3.63,0.87,2.65,7.77,-115.77,-0.62,83.91,167.22,-1.66,50,5.51,-9.04,15.6,8.4,24,1181,236,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,0,0,C,CU,77,71.5,18.71,-33.51,7.9,-1.04,0.29,2.63,2.71,-111.97,0.05,106.03,167.68,-1.96,50,6.02,10.11,16.8,10.8,24,2230,84,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,0,1,B,CH,84.6,78.8,21.56,-30,-6.02,1.4,0.24,0.83,6.91,-122.93,-6.07,107.73,216.35,-1.8,50,5.84,-9.33,14.4,8.4,24,1259,260,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,1,1,B,FF,91.3,84.4,25.27,-15.63,-4.43,9.15,-0.98,2.07,4.12,-132.82,-6.45,154.59,183.07,-1.97,50,5.65,-8,22.8,3.6,24,2133,204,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,2,1,F,SI,90.5,83.8,24,-18.35,-7.68,7.77,0.38,2.92,7.6,-131.61,-3.77,102.41,159.89,-1.52,50,5.71,-13.67,32.4,4.8,24,1920,222,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,2,1,F,SL,80.6,74.6,21.61,-35.6,6.36,-2.45,-0.35,1.96,1.79,-117.36,-1.29,130.39,186.01,-1.95,50,5.82,8.9,14.4,10.8,24,2432,69,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,2,1,F,FF,91.4,83.3,29.3,-15.57,-3.26,9.3,-0.26,3.13,5.14,-132.98,-3.48,126.87,154.28,-1.79,50,5.59,-5.81,15.6,3.6,24,2048,196,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,16,0,Jakob Junis,L,Flyout,field_out,2,2,X,SL,81.3,76.1,20.1,-32.83,9.01,-0.46,1.21,1.63,4.39,-118.39,-2.82,71.58,194.63,-1.83,50,5.8,12.93,21.6,9.6,24,2302,86,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,42,1,Jakob Junis,L,Single,single,0,0,B,FF,89.4,82.5,25.02,-17.18,-4.46,8.7,1.12,1.83,8.39,-129.87,-6.46,74.47,189.43,-1.56,50,5.64,-7.69,18,4.8,24,2111,203,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,42,1,Jakob Junis,L,Single,single,1,0,D,FF,88.5,80.7,27.31,-16.51,-4.4,9.39,0.53,2.13,7.04,-128.5,-5.47,96.67,181.27,-1.68,50,5.57,-7.34,18,4.8,24,2037,201,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,59,2,Brad Boxberger,L,Strikeout,strikeout,0,0,B,FF,90.4,83.1,26.02,-13.14,-7.64,10.88,0.81,0.92,9.01,-131.01,-8.78,86.14,213.94,-1.67,50,5.28,-13.36,38.4,4.8,24,2193,213,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,59,2,Brad Boxberger,L,Strikeout,strikeout,1,0,B,FF,89.4,82.2,25.66,-15.63,-7.04,9.67,0.42,0.76,7.65,-129.62,-8.53,100.87,218.26,-1.64,50,5.27,-12.05,31.2,4.8,24,2194,214,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,59,2,Brad Boxberger,L,Strikeout,strikeout,2,0,C,FF,89.9,82.8,25.5,-18.57,-5.33,7.82,0.05,1.46,6.26,-130.55,-6.53,115.1,199.36,-1.68,50,5.38,-9.27,22.8,4.8,24,2201,212,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,59,2,Brad Boxberger,L,Strikeout,strikeout,2,1,F,FF,91,83.8,25.87,-17.93,-6.32,7.98,0.05,1.95,6.82,-132.17,-5.39,115.07,186.05,-1.73,50,5.32,-11.27,27.6,4.8,24,2177,216,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,59,2,Brad Boxberger,L,Strikeout,strikeout,2,2,B,CH,77.6,72.1,18.72,-30.17,-7.72,1.53,-1.61,2.03,2.64,-113.04,-1.01,178.37,184.07,-1.78,50,5.49,-10.09,18,9.6,24,1103,257,undefined,undefined,
