gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
10,h,Partly Cloudy,TB,2019-04-09,0,0,0,Austin Meadows,L,Single,single,0,0,B,FF,89.4,82,26.79,-16.9,-4.69,8.9,-1.08,2.67,0.44,-130.01,-5.83,158.27,166.65,-0.64,50,6.22,-8.03,24,4.8,24,1980,209,undefined,undefined,3.36,1.45,
10,h,Partly Cloudy,TB,2019-04-09,1,0,0,Austin Meadows,L,Single,single,1,0,B,FF,91.4,84,27.25,-15.67,-4.41,9.18,-1.32,2.65,-0.07,-132.95,-6.25,167.26,167.16,-0.72,50,6.16,-7.93,25.2,4.8,24,2058,207,undefined,undefined,3.46,1.55,
10,h,Partly Cloudy,TB,2019-04-09,2,0,0,Austin Meadows,L,Single,single,2,0,D,FF,90.7,83.3,27.11,-17.42,-4.33,8.35,-0.1,2.74,2.65,-131.89,-5.58,120.66,165.02,-0.55,50,6.16,-7.65,21.6,4.8,24,2084,207,undefined,undefined,3.41,1.56,
10,h,Partly Cloudy,TB,2019-04-09,3,1,1,Tommy Pham,R,Flyout,field_out,0,0,B,FT,90.6,82.5,29.1,-17.88,-5.17,8.17,0.07,3.34,3.14,-131.76,-4.12,114.15,148.59,-0.46,50,6.25,-9.06,24,4.8,24,2290,211,undefined,undefined,3.22,1.33,
10,h,Partly Cloudy,TB,2019-04-09,4,1,1,Tommy Pham,R,Flyout,field_out,1,0,B,SL,83.2,76.3,24.56,-25.66,1.91,4.43,1.76,1.42,4.77,-120.86,-5.81,50.06,200.51,-0.49,50,6.12,2.81,7.2,7.2,24,2329,146,undefined,undefined,3.31,1.51,
10,h,Partly Cloudy,TB,2019-04-09,5,1,1,Tommy Pham,R,Flyout,field_out,2,0,C,FF,90.4,82.8,27.82,-18.95,-2.91,7.55,-0.6,2.8,1.09,-131.48,-5,139.68,163.51,-0.64,50,6.13,-5.1,13.2,4.8,24,2227,201,undefined,undefined,3.41,1.5,
10,h,Partly Cloudy,TB,2019-04-09,6,1,1,Tommy Pham,R,Flyout,field_out,2,1,S,SL,84.4,77.6,25.01,-28.49,1.87,2.43,1.21,1.39,3.63,-122.67,-5.75,71.04,201.08,-0.54,50,6.21,2.84,7.2,8.4,24,2441,128,undefined,undefined,3.41,1.56,
10,h,Partly Cloudy,TB,2019-04-09,7,1,1,Tommy Pham,R,Flyout,field_out,2,2,*B,SL,84.2,77.4,24.66,-26.68,0.29,3.64,0.03,0.87,1.27,-122.33,-7.03,116.01,215.31,-0.54,50,6.07,0.44,1.2,7.2,24,2316,170,undefined,undefined,3.24,1.42,
10,h,Partly Cloudy,TB,2019-04-09,8,1,1,Tommy Pham,R,Flyout,field_out,3,2,X,SL,83.5,77.3,22.03,-28.76,1.69,2.27,-0.57,2.38,-0.1,-121.48,-3.2,138.8,174.66,-0.75,50,6.2,2.54,4.8,8.4,24,2311,140,undefined,undefined,3.41,1.56,
10,h,Partly Cloudy,TB,2019-04-09,9,2,2,Ji-Man Choi,L,Walk,walk,0,0,B,SL,82.8,76.8,22.01,-29.15,2.34,2.05,0.7,1.12,2.37,-120.34,-5.7,90.31,208.56,-0.6,50,6.08,3.46,7.2,8.4,24,2348,120,undefined,undefined,3.29,1.57,
